2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
66	elisamich0422	@b253n @DebAlwaystrump The way things are going, the entire #Obama Administration should be indicted. Including… https://t.co/38mABwjin7	Tue Apr 04 13:12:00 CDT 2017	null	null	null	@b253n @DebAlwaystrump The way things are going, the entire #Obama Administration should be indicted. Including… https://t.co/38mABwjin7
67	white_hackerr	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:12:01 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
68	MitziAdams16	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:12:01 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
69	BRodakowski	RT @clarionproject: Here's the #Obama statement on successfully removing chemical weapons from #Syria in case you forgot https://t.co/dqnUy…	Tue Apr 04 13:12:06 CDT 2017	null	null	null	RT @clarionproject: Here's the #Obama statement on successfully removing chemical weapons from #Syria in case you forgot https://t.co/dqnUy…
70	aloktiwari9335	RT @ramtoindia: #AAP_के_घोटाले when #Obama tried in kejriwal strikes skill loved ,he said he will try in next election campaign… 	Tue Apr 04 13:12:09 CDT 2017	null	null	null	RT @ramtoindia: #AAP_के_घोटाले when #Obama tried in kejriwal strikes skill loved ,he said he will try in next election campaign… 
71	HeyTrudi	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 13:12:10 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
72	DoctorWerner44	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:12:10 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
73	hopetoown	Will Donald Trump’s New Tax Plan Cost the Government Trillions of Dollars? #DonaldTrump  is anyt… https://t.co/3MMnWgt30P #collegelife	Tue Apr 04 13:12:13 CDT 2017	null	null	null	Will Donald Trump’s New Tax Plan Cost the Government Trillions of Dollars? #DonaldTrump  is anyt… https://t.co/3MMnWgt30P #collegelife
74	RU4_Reel	RT @bfraser747: #John Podesta recieved at least $35M from the #Russians while working with #Obama & #Hillary. WHERES THAT STORY… 	Tue Apr 04 13:12:19 CDT 2017	null	null	null	RT @bfraser747: #John Podesta recieved at least $35M from the #Russians while working with #Obama & #Hillary. WHERES THAT STORY… 
75	PiperSul	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:12:24 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
76	InHisservice327	Interesting chart. Speaks volumes about why mainstream speaks of nothing positive. https://t.co/6iYaWRiheY	Tue Apr 04 13:12:24 CDT 2017	null	null	null	Interesting chart. Speaks volumes about why mainstream speaks of nothing positive. https://t.co/6iYaWRiheY
77	mthjwbgs	RT @Uncle_Jimbo: Says the #BaghdadBob Of the US press corps @jimsciutto worked for #Obama & w/ husband of #SusanRice Nothing to… 	Tue Apr 04 13:12:26 CDT 2017	null	null	null	RT @Uncle_Jimbo: Says the #BaghdadBob Of the US press corps @jimsciutto worked for #Obama & w/ husband of #SusanRice Nothing to… 
